"Id","Name","Aka","Type","Clan","Adv","Group","Capacity","Disciplines","Card Text","Set","Title","Banned","Artist"
"200770","Kemintiri","","Vampire","Follower of Set","Advanced","2","10","aus dom OBF PRE SER THA","Independent: Red List. +1 stealth.
[MERGED] 3 votes (titled): Kemintiri can play minion cards requiring a Camarilla vampire, a Ventrue, and/or a justicar title as if she met that/those requirement(s).","KMW:U, POD:DTC","","","Lawrence Snelly"
"200771","Kendrick","","Vampire","Nosferatu antitribu","","2","7","aus obf ANI POT","Sabbat priscus: If Kendrick is ready during your master phase, you may look at a card at random from your prey's hand. If it is a political action card, your prey discards it.","Sabbat:V, BH:PN","priscus","","Jeff Klimek"
"200772","Kenyatta","","Vampire","Ishtarri","","4","4","cel for pre","Laibon.","LoB:PI2","","","Brian LeBlanc"
"200773","Kephamos, High Priest of Marrakech","","Vampire","Follower of Set","","2","8","dom obf pre SER","Independent. 2 votes (titled): +1 bleed.","AH:V3, FN:PS, POD:DTC","2 votes","","Daniel Gelon"
"200774","Kervos, The Lieutenant","","Vampire","Salubri antitribu","","2","3","aus val","Sabbat.","BL:U2","","","Christopher Shy"
"200775","Kestrelle Hayes","","Vampire","Ventrue antitribu","","5","6","dom for obt AUS","Sabbat. Black Hand: Kestrelle gets +1 stealth on (D) actions directed at a Methuselah who doesn't control a ready Sabbat vampire.","Promo-20070101, SoC:V","","","Katie McCaskill"
"201629","Kevin Jackson","","Vampire","Ventrue","","7","7","DOM FOR PRE","Camarilla Prince of Chicago: Kevin gets +1 strength in combat with a Brujah. Brujah get +1 strength in combat with him.","NB:PTr1/PV1","prince","","Amy Wilkins"
"201599","Khadija Al-Kindi","","Vampire","Assamite","","6","6","CEL OBF THA","Camarilla primogen.","V5A:PBh1","primogen","","Samuel Araya"
"200776","Khalid","","Vampire","Nosferatu","","3","9","tha ANI AUS OBF POT","Camarilla primogen: During your master phase, if Khalid is ready, you may use a master phase action and discard a card that requires Obfuscate [obf] from your hand to gain a pool.","CE:V/PN, BSC:X","primogen","","Christopher Shy"
"200777","Khalil Anvari","","Vampire","Follower of Set","","2","3","pre ser","Independent.","AH:V3, FN:PS, POD:DTC","","","Michael Astrachan"
"200778","Khalil Ravana","","Vampire","Ravnos","","2","5","ani for pre CHI","Independent: Khalil gets +1 stealth during diablerie actions.","FN:PR, POD:DTC","","","John Van Fleet"
"200779","Khalu","","Vampire","Osebo","","3","7","ani pro AUS CEL POT","Laibon: Khalu may burn 5 blood to cancel a minion card played by your predator or prey as it is played (no cost is paid).","LoB:PO2","","","Ken Meyer, Jr."
"200780","Khay'tall, Snake of Eden","","Vampire","Follower of Set","","2","9","aus DOM OBF PRE SER","Independent: Kay'tall gets +1 stealth during political actions. Vampires with any corruption counters cannot cast votes or ballots against referendums called by Khay'tall.","FN:U2, POD:DTC","","","Lawrence Snelly"
"200781","Khurshid","","Vampire","Harbinger of Skulls","","6","8","AUS FOR NEC POT","Sabbat: +2 strength.","LK:3","","","Carmen Cornet"
"200782","Kij Dansky","","Vampire","Tremere antitribu","","2","8","obt AUS DOM THA","Sabbat priscus.","Sabbat:V, BH:PTr","priscus","","Rick Berry"
"200783","Kikiyaon, The","","Vampire","Akunanse","","4","5","abo ani FOR","Laibon: Once each combat, The Kikiyaon may burn a blood to get a maneuver. Flight [FLIGHT].","LoB:U","","","Leif Jones"
"200784","Kiradin","","Vampire","Ravnos","","4","8","ani pot CHI DEM FOR","Independent: Once each round, Kiradin can burn 1 blood to get 1 additional strike (limited).","LotN:PR2, POD:DTC","","","Heather V. Kreiter"
"200785","Kisha Bhimji","","Vampire","Osebo","","3","5","cel obf pot AUS","Laibon magaji: Kisha gets -1 stealth on non-hunt actions.","Promo-20061026","magaji","","Ken Meyer, Jr."
"200786","Kite","","Vampire","Malkavian antitribu","","2","7","obf pre AUS DEM","Sabbat bishop: +1 intercept.","SW:C, BH:PM","bishop","","Lawrence Snelly"
"200787","Klaus Konrecht","","Vampire","Toreador antitribu","","4","8","for pot AUS CEL PRE","Sabbat cardinal.","Third:V, SP:LB3","cardinal","","Jim Di Bartolo"
"200788","Klaus van der Veken","","Vampire","Toreador","","2","9","aus obf tha CEL PRE","Camarilla Prince of Amsterdam: Klaus may cancel the effects of one of your prey's hunting grounds.","DS:V, CE:PTo","prince","","Sandra Everingham"
"200789","KoKo","","Vampire","Nosferatu","","1","2","pot","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","L. A. Williams"
"200790","Konrad Fleischer","","Vampire","Ventrue antitribu","","4","9","tha ANI AUS DOM FOR","Sabbat: Once each round, Konrad may treat 1 aggravated damage as normal. He gets an optional press each combat.","Third:V","","","Avery Butterworth"
"200791","Korah","","Vampire","Malkavian antitribu","","2","7","ani AUS DEM OBF","Sabbat priscus.","Sabbat:V, SW:U, BH:PM","priscus","","Lawrence Snelly"
"200792","Kostantin, Baro of the Caravan","","Vampire","Ravnos","","2","9","cel dom ANI CHI FOR","Independent: Kostantin can steal an equipment as a +1 stealth (D) action.","DS:V, FN:PR, POD:DTC","","","Mark Tedin"
"200793","Krassimir","","Vampire","True Brujah","","2","7","dom nec pre POT TEM","Independent: Once each turn, when blocked, Krassimir can unlock and cancel the current action and combat (do not lock the blocking minion). Krassimir cannot use cards that require Celerity [cel]. Scarce.","BL:R2","","","Brian LeBlanc"
"200794","Krid","","Vampire","Nosferatu","","3","2","obf","Camarilla.","CE:V, BSC:X","","","Becky Cloonan"
"200795","Kurt Densch","","Vampire","Nosferatu","","3","8","ani aus cel OBF POT","Camarilla: During your unlock phase, you may look at the top card of your library, and Kurt may burn 1 blood to move that card to the bottom of your library. +1 intercept.","CE:V, Anarchs:PAB, BSC:X","","","Mike Danza"
"200796","Kurt Strauss","","Vampire","Tremere antitribu","","2","5","aus tha DOM","Sabbat.","Sabbat:V, BH:PTr","","","Phillip Tan"
"201574","Kuyén","","Vampire","Gangrel","","6","6","ANI PRO","Anarch Baron of Santiago: Animals (allies and retainers) cost Kuyén 1 fewer blood or pool.","Promo-20211113","baron","","Ginés Quiñonero"
"200797","Kyle Strathcona, Cardinal of Canada","","Vampire","Ventrue antitribu","","2","9","for AUS DOM POT PRE","Sabbat cardinal: During your unlock phase, you may move 1 blood from Kyle to any other controlled Sabbat vampire.","SW:PV","cardinal","","John Van Fleet"
"200798","Kyoko Shinsegawa","","Vampire","Tremere","","3","5","aus cel dom for","Camarilla: Kyoko cannot hunt as normal. She may hunt by stealing a blood from another ready vampire as a +1 stealth (D) action.","CE:V, BSC:X","","","Max Shade Fellwalker"
"200799","Kyrylo","","Vampire","Blood Brother","","5","4","for SAN","Sabbat: Kiev circle. Sterile.","HttB:U/A2","","","Ken Meyer, Jr."
"200800","L'Épuisette","L'Epuisette","Vampire","Toreador antitribu","","4","4","aus cel pro","Sabbat: L'Épuisette gets +1 bleed against a Methuselah who controls a ready Toreador.","KMW:U, SP:LB1","","","Mark Poole"
"200801","La Viuda Blanca","","Vampire","Harbinger of Skulls","","6","6","for obf AUS NEC","Sabbat: La Viuda can draw up to 2 cards as a +1 stealth action (discard down afterward).","HttB:U/A2","","","Samuel Araya"
"200802","Lachlan, Noddist","","Vampire","Toreador antitribu","","2","8","dom AUS CEL PRE","Sabbat Archbishop of Chicago.","Sabbat:V, BH:PTo","archbishop","","Michael Astrachan"
"200803","Ladislas Toth, The Torch","","Vampire","Tremere antitribu","","3","7","for AUS DOM THA","Sabbat Archbishop of Frankfurt.","Gehenna:U, Third:PTr","archbishop","","Christopher Shy"
"200804","Lady Constancia","","Vampire","Giovanni","","4","10","AUS DOM FOR NEC POT","Independent. 2 votes (titled): You can burn the Edge and use a discard phase action to discard 1 card at random and draw its replacement from the other library cards in your ash heap.","LotN:PG2, POD:DTC","2 votes","","Peter Bergting"
"201516","Lady Vadislava","","Vampire","Tzimisce","","5","9","nec ANI AUS DOM VIC","Sabbat priscus: Once each round, Lady Vadislava can burn 1 blood to make the damage from her hand strikes aggravated that round.","SP:DoF2","priscus","","Carmen Cornet"
"200805","Lady Zara Slatikov","","Vampire","Tzimisce","","4","8","ANI AUS OBF VIC","Sabbat bishop: Zara gets an optional press each combat. She may enter combat with a ready Baali as a (D) action.","Third:PTz2","bishop","","Chad Michael Ward"
"200806","Laecanus","","Vampire","Toreador","","4","5","obt pre CEL","Camarilla: Once each combat, Laecanus {can} press to end combat. {Frenzy cards cannot be played on him}.","TR:U","","","Lawrence Snelly"
"200807","Laika","","Vampire","Tzimisce","","4","7","chi obf vic ANI AUS","Sabbat: Laika may burn 1 blood to strike for 2R damage.","Third:PTz2","","","Richard Thomas"
"200808","Lailah","","Vampire","Salubri antitribu","","6","4","aus VAL","Sabbat.","LK:2","","","Mark Kelly"
"200809","Lalitha","","Vampire","Follower of Set","","2","2","ser","Independent.","AH:V3, FN:PS, POD:DTC","","","Max Shade Fellwalker"
"200810","Lambach","","Vampire","Tzimisce","","2","10","pre ANI AUS DOM VIC","Sabbat cardinal: Once each combat, Lambach may burn 1 blood to make the damage from his hand strikes aggravated for the current round. +1 strength.","Sabbat:V, SW:U/PT","cardinal","","Tim Bradstreet & Grant Goleash"
"200811","Lambach","","Vampire","Tzimisce","Advanced","2","10","pre ANI AUS DOM VIC","Advanced, Independent: Lambach has 2 votes (titled). He can equip with an Eye of Hazimel at no cost from your library as a +1 stealth action (shuffle afterward).
[MERGED] He unlocks when he successfully performs an action to put a vampire in play.","Promo-20030901","2 votes","","Christopher Shy"
"200812","Lana Butcher","","Vampire","Ventrue","","3","3","dom for","Camarilla.","CE:V, BSC:X","","","Alejandro Collucci"
"200813","Langa","","Vampire","Salubri antitribu","","4","5","for VAL","Laibon: Langa may enter combat with a vampire controlled by another Methuselah as a (D) action.","LoB:U, HttB:PSal","","","David Day"
"201553","Larissa Moreira","","Vampire","Nosferatu","","6","6","pot ANI OBF","Camarilla primogen: During a bleed action, Larissa can discard a card requiring Animalism [ani] to get +1 bleed.","V5:PN2, NB:PN1","primogen","","Samuel Araya"
"200814","Larry","","Vampire","Blood Brother","","2","5","dem for pot SAN","Sabbat. Chicago Circle: Once each action, Larry can burn 1 blood to get +1 intercept. Sterile.","BL:U1","","","Lawrence Snelly"
"200815","Laszlo Mirac","","Vampire","Ventrue antitribu","","4","10","cel obf vic AUS DOM FOR","Sabbat bishop: When Laszlo calls a referendum, he may choose a younger vampire. That vampire cannot cast votes or ballots in that referendum. +1 bleed.","Third:V","bishop","","Avery Butterworth"
"200816","Laura Goldman","","Vampire","Brujah","","5","3","cel pre","{Anarch}.","Anthology:LARP1","","","Mark Kelly"
"201554","Lauren","","Vampire","Tremere","","6","4","aus dom tha","Camarilla.","V5:PTr1","","","Ken Meyer, Jr."
"200817","Laurent de Valois","","Vampire","Nosferatu","","2","4","ani dom obf","Camarilla.","AH:V3, CE:PN","","","Anson Maddocks"
"200818","Layla bint-Nadr","","Vampire","Assamite","","4","5","qui CEL OBF","Independent: Blood cursed.","LotN:PA2, POD:DTC","","","Jim Pavelec"
"200819","Lázár Dobrescu","","Vampire","Ravnos","","2","3","for","Independent: Lázár can move 1 blood from a crypt card in your prey's uncontrolled region to a vampire in your uncontrolled region as a (D) action.","AH:V3, FN:PR, POD:DTC","","","Rebecca Guay"
"200820","Lazarus","","Vampire","Tremere","","1","9","cel pot AUS DOM THA","Camarilla primogen: Lazarus may inflict 1R damage as a strike.","Jyhad:V, VTES:V, Tenth:A","primogen","","Edward Beard, Jr."
"200821","Lazarus","","Vampire","Tremere","Advanced","1","9","cel pot AUS DOM THA","Advanced, Camarilla primogen: Lazarus gets one optional maneuver each combat.
[MERGED] Once each combat, Lazarus may burn 1 blood to get one press, only usable to continue combat.","Anarchs:U2","primogen","","Christopher Shy"
"200822","Lazarus James","","Vampire","Malkavian","","4","8","obf tha AUS DEM PRE","Camarilla: +1 bleed.","Gehenna:U","","","Monte Moore"
"200823","Lazverinus, Thrall of Lambach","","Vampire","Ventrue antitribu","","2","10","pro AUS DOM FOR POT","Sabbat Archbishop of Houston: +2 strength.","Sabbat:V, SW:U/PV","archbishop","","Zina Saunders"
"200824","Le Dinh Tho","","Vampire","Nagaraja","","2","5","aus dom NEC","Independent: Tho may look at another Methuselah's hand and discard one card from it as a +1 stealth (D) action (that Methuselah draws back up to his or her hand size). Tho gets -1 stealth when hunting. Scarce.","BL:R2","","","Christopher Shy"
"200825","Leaf ""Potter116"" Pankowski","","Imbued","Redeemer","","4","4","inn red viz","During your discard phase, Leaf may lock to gain a conviction [1 CONVICTION] from your library (shuffle afterward), hand or ash heap.","NoR:U","","","Katie McCaskill"
"200826","Leandro","","Vampire","Malkavian","","2","11","cel dom AUS OBF PRE","Camarilla Malkavian Inner Circle: During each other Methuselah's unlock phase, if Leandro is ready, that Methuselah chooses either to burn 1 pool or to lose all transfers during his or her next influence phase. +2 bleed.","DS:V, CE:PM","inner circle","","Drew Tucker; Ken Meyer, Jr."
"200827","Lectora","","Vampire","Tremere antitribu","","4","3","aus tha","Sabbat.","Third:V, SP:PwN1","","","Becky Jollensten"
"200828","Legba","","Vampire","Follower of Set","","6","8","obf PRE SER THA","Sabbat Archbishop of Port-au-Prince: Followers of Set controlled by other Methuselahs cannot cast votes or ballots in referendums called by Legba.","TU:C/B2","archbishop","","Carmen Cornet"
"200829","Leila Monroe","","Vampire","Lasombra","","4","4","dom obt pre","Sabbat: Leila can change the sect of an Anarch with no blood to Sabbat as a +1 stealth (D) action.","Third:V, POD:DTC","","","Lawrence Snelly"
"201622","Len Konopka","","Vampire","Nosferatu antitribu","","3","8","dom ser ANI OBF POT","Sabbat: If Len is ready at the start of your influence phase, you get +1 transfer. Black Hand.","Promo-20210701","","","Ginés Quiñonero"
"200830","Lena Rowe","","Vampire","Pander","","2","3","aus obf pre","Sabbat: Lena cannot attempt actions that would give her a title and cannot be chosen as the recipient of a title.","Sabbat:V, Tenth:A","","","Ken Meyer, Jr."
"201555","Lenny Burkhead","","Vampire","Nosferatu","","6","6","obf pot pre ANI","Camarilla primogen: +1 bleed.","V5:PN2, NB:PN1","primogen","","Mitch Mueller"
"200831","Leo Washington","","Vampire","Gangrel antitribu","","4","2","cel pro","Sabbat: An older vampire opposing Leo gets an optional maneuver on the first round of combat.","Third:V","","","Abrar Ajmal"
"200832","Leon","","Vampire","Gangrel antitribu","","2","3","ani for","Sabbat: Gangrel antitribu get -1 intercept when attempting to block Leon.","Sabbat:V, Tenth:A","","","John Bolton"
"200833","Lernean","","Vampire","Tremere antitribu","","4","10","for pro AUS CEL DOM THA","Sabbat cardinal: Once each round, Lernean may burn 1 blood to get an additional strike {(limited)}.","Third:V","cardinal","","Jeff Holt"
"201526","Leumeah","","Vampire","Brujah","","6","6","cel for pot PRE","Anarch Baron of Canberra.","Promo-20191005, Promo-20200511","baron","","Lawrence Snelly"
"200834","Lia Milliner","","Vampire","Giovanni","","3","3","dom nec","Independent.","Anarchs:U2, POD:DTC","","","Mike Huddleston"
"200835","Lille Haake","","Vampire","Tremere","","3","9","nec pre AUS DOM THA","Camarilla primogen: Lille gets +1 bleed when bleeding a Methuselah who controls a ready Sabbat vampire. During your master phase, you may use a master phase action to discard a card from your hand.","CE:V, BSC:X","primogen","","Alejandro Collucci"
"200836","Lillian","","Vampire","Gangrel","","5","3","ani pro","Independent.","KoT:V/A1","","","Andrew Trabbold"
"200837","Lin Jun","","Vampire","Toreador","","4","4","aus cel pre tha","Camarilla: If Jun is in torpor, vampires with Thaumaturgy [tha] controlled by your predator get +1 bleed.","TR:U","","","Ken Meyer, Jr."
"200838","Lindsay Yates","","Vampire","Toreador","","5","5","aus for pre CEL","Camarilla.","KoT:V/B1","","","Mike Gaydos"
"200839","Lisa Noble","","Vampire","Caitiff","","3","1","ani","Camarilla: Lisa gets -1 strength on the first round of combat.","Anarchs:U2","","","David Day"
"200840","Lisandro Giovanni","","Vampire","Giovanni","","3","9","DOM FOR NEC POT THN","Independent: You and Lisandro can play cards requiring a Samedi or a Ventrue antitribu as if he were of that required clan. +1 stealth.","TU:C/B2","","","Riccardo Fabiani"
"200841","Lisé","","Vampire","Gangrel","","5","6","pot pro ANI FOR","Independent.","KoT:V/A1","","","Erica Danell"
"200842","Lisette Vizquel","","Vampire","Lasombra","","2","6","pro DOM POT","Sabbat bishop: Lisette gets +1 intercept during diablerie actions.","Sabbat:V, SW:PL, POD:DTC","bishop","","Ken Meyer, Jr."
"200843","Lithrac","","Vampire","Samedi","","2","5","for thn OBF","Camarilla: You get 2 additional votes in referendums to call blood hunts against Lithrac. Lithrac gets +1 stealth when taking an action to enter combat with another minion.","BL:U2","","","Christopher Shy"
"200844","Little Tailor of Prague","","Vampire","Tzimisce","","2","8","dem ANI AUS VIC","Sabbat: When the Tailor recruits an ally or employs a retainer that requires Tzimisce or Vicissitude [vic], the cost is reduced by one blood or pool. +1 bleed.","SW:U","","","Lawrence Snelly"
"200845","Little Willie","","Vampire","Ventrue antitribu","","4","4","for obf pro","Sabbat.","Third:V","","","Steve Ellis"
"200846","Liz ""Ticket312"" Thornton","","Imbued","Innocent","","4","2","inn red","Liz doesn't gain a conviction [1 CONVICTION] as normal when entering play.","NoR:U","","","Lawrence Snelly"
"200847","Lizette","","Vampire","Ravnos","","4","10","pot ANI CEL CHI FOR PRO","Independent: Lizette can prevent 1 damage each combat. During a bleed action, she can burn 1 blood to get +1 bleed.","LotN:PR2, POD:DTC","","","Leif Jones"
"201556","Lloyd Brooks","","Vampire","Tremere","","6","6","aus pot THA DOM","Camarilla primogen.","V5:PTr1, NB:PTr1","primogen","","Ginés Quiñonero"
"200848","Lodin (Olaf Holte)","","Vampire","Ventrue","","5","8","aus pro DOM FOR PRE","Camarilla Prince of Chicago: Lodin can prevent 1 damage from an opposing minion's strike once each combat.","KoT:V/B2, FB:PV1","prince","","Jim Pavelec"
"200849","Lolita","","Vampire","Toreador antitribu","","2","3","for pre","Sabbat.","Sabbat:V, BH:PTo","","","Ken Meyer, Jr."
"200850","Lolita Houston","","Vampire","Tzimisce","","2","4","aus VIC","Sabbat.","Sabbat:V, SW:PT","","","Tim Bradstreet & Grant Goleash"
"200851","Loonar","","Vampire","Toreador antitribu","","4","4","cel PRE","Sabbat.","Third:V, SP:LB1","","","Ken Meyer, Jr."
"200852","Lord Aaron Wesley Wilkshire","","Vampire","Brujah antitribu","","4","8","ani obf CEL POT PRE","Sabbat. Black Hand: Frenzy cards played on Aaron cost an additional blood or pool.","Third:V","","","Steve Ellis"
"200853","Lord Ashton","","Vampire","Gangrel","","3","5","for pro ANI","Independent: Any other Gangrel can search his or her controller's library for an Animalism, Fortitude or Protean Master: Discipline card and move it to himself or herself as a +1 stealth action.","Anarchs:PG","","","Lawrence Snelly"
"200854","Lord Ephraim Wainwright","","Vampire","Tremere","","5","6","for pre AUS THA","Camarilla: You can search your library for another copy of an action card Ephraim plays after it is played and move that copy to your ash heap (shuffle afterward). If the action succeeds, move the card to your hand.","KoT:V/B1, HttB:PGar","","","Leif Jones"
"200855","Lord Fianna","","Vampire","Malkavian","","5","8","cel pro AUS DEM OBF","Camarilla: Allies cannot block Lord Fianna. Red List. +1 stealth.","KoT:V/A1","","","Warren Mahy"
"201517","Lord Leopold Valdemar","","Vampire","Lasombra","","5","8","cel dom obf OBT POT","Sabbat priscus: Leopold can strike, ranged: steal 2 blood or life (becoming blood).","SP:PoS2, POD:DTC","priscus","","Ginés Quiñonero"
"200856","Lord Tremere","","Vampire","Tremere","","5","11","obe ANI AUS DOM VIC THA","Camarilla: Cards requiring Thaumaturgy [tha] cost Lord Tremere 1 fewer blood. During your minion phase, you can lock or unlock another ready Tremere or Tremere antitribu. +2 bleed. +1 intercept.","Promo-20150220, Promo-20181004:HB2, Promo-20190408","","","Mark Kelly"
"200857","Lord Vauxhall","","Vampire","Lasombra","","4","7","DOM OBT POT THA","Sabbat.","Third:V, HttB:PKia, POD:DTC","","","Leif Jones"
"200858","Lorenzo Detuono","","Vampire","Giovanni","","5","9","aus dem DOM NEC POT","Independent: If Lorenzo is ready at the end of combat and the opposing minion would not, instead Lorenzo can burn 5 blood to move the opposing minion to your ready region, with 1 life for an ally with no life. Red List.","LotN:U, POD:DTC","","","Andrew Trabbold"
"200859","Lorrie Dunsirn","","Vampire","Abomination","","4","4","for nec POT","Independent: Lorrie cannot play reaction cards, have equipment or retainers, maneuver to long, or press to end. She gets an additional strike {(limited)} each round and a press each combat. Non-hunt actions cost her an additional pool. +1 strength. Scarce. Sterile.","KMW:U","","","Katie McCaskill"
"200860","Louhi","","Vampire","Malkavian antitribu","","4","10","pro ANI AUS DEM OBF THA","Sabbat cardinal: Once each turn, if Louhi is ready, she may burn 1 blood to cancel an action card played by a vampire controlled by your predator as it is played (the acting minion doesn't lock).","KMW:U","cardinal","","Steve Prescott"
"200861","Louis de Maisonneuve","","Vampire","Ventrue antitribu","","4","5","aus dom obf FOR","Sabbat.","Third:V","","","John Bridges"
"200862","Louis Fortier","","Vampire","Ventrue","","4","5","aus dom for obf pre","Camarilla.","TR:U","","","Ken Meyer, Jr."
"200863","Louis Fortier","","Vampire","Ventrue","Advanced","4","5","aus dom for obf pre","Anarch.
[MERGED] Louis gets +1 level of Dominate [dom] and Presence [pre].","AU:C/2, Anthology:1","","","Riccardo Fabiani"
"200864","Luanda Magere","","Vampire","Ishtarri","","4","8","for CEL PRE PRO","Laibon: Luanda gets +1 strength for each Orun he has.","EK:U","","","Pat Loboyko"
"200865","Lubomira Hradok","","Vampire","Nosferatu antitribu","","5","3","OBF","Sabbat. Black Hand: If Lubomira successfully bleeds a Methuselah who controls a ready titled vampire, she does not unlock as normal during her next unlock phase.","SoC:V","","","Lawrence Snelly"
"200866","Luc","","Vampire","Malkavian antitribu","","4","5","dem vic OBF","Sabbat: Luc gets +1 stealth on diablerie actions. He may give you +3 hand size until your next unlock phase as a +1 stealth action.","Third:V","","","Thomas Manning"
"200867","Luca Italicus","","Vampire","Lasombra","","4","10","tha DOM FOR NEC OBT POT","Sabbat Archbishop of Philadelphia: Once each round of combat after the first, Luca can strike: 2R damage.","Third:V, HttB:PKia, SP:PoS2, POD:DTC","archbishop","","Jim Di Bartolo"
"200868","Lucas Halton","","Vampire","Tremere","","3","10","qui AUS CEL DOM THA","Camarilla Prince of Houston: Once each turn, when Lucas blocks an action, he may burn a blood instead of locking for the successful block (before combat occurs).","CE:V/PTr, KMW:PAl, BSC:X","prince","","Alejandro Collucci"
"200869","Luccia Paciola","","Vampire","Ventrue","","1","6","for pre DOM","Camarilla: +1 strength.","Jyhad:V, VTES:V, Tenth:A","","","Larry MacDougall"
"200870","Lucian","","Vampire","Malkavian","","1","10","cel tha AUS DOM OBF","Camarilla Malkavian Justicar: Lucian may steal equipment as a strike.","Jyhad:V, VTES:V, Tenth:A","justicar","","Drew Tucker"
"200871","Lucian, the Perfect","","Vampire","Guruhi","","4","11","ANI AUS DOM OBF POT PRE","Laibon: Strikes against Lucian cost an additional blood or life. A minion opposing Lucian may choose not to strike. +3 bleed.","EK:U","","","Vince Locke"
"200872","Lucina","","Vampire","Toreador","","3","7","cel pro AUS PRE","Camarilla primogen: Lucina gets +1 strength in combat with a vampire whose capacity is 4 or less. During your unlock phase, if you control the Edge, Lucina gains 1 blood.","CE:V, BSC:X","primogen","","Max Shade Fellwalker"
"200873","Lucinde, Alastor","","Vampire","Ventrue","","3","10","obf pot tha DOM FOR PRE","Camarilla Ventrue Justicar: Lucinde can enter combat with any ready non-Camarilla vampire controlled by another Methuselah as a (D) action. During your unlock phase, you can burn the Edge to give Lucinde 1 blood from the blood bank.","CE:V, KMW:PAl, BSC:X","justicar","","Matt Mitchell"
"200874","Lucita","","Vampire","Lasombra","","2","8","cel pot DOM FOR OBT","Independent: Younger Sabbat vampires get -1 intercept against Lucita.","Promo-20020811, SW:PL, POD:DTC","","","John Van Fleet"
"200875","Lucita","","Vampire","Lasombra","Advanced","2","8","cel pot DOM FOR OBT","Sabbat: During an action Lucita performs, she can burn 2 blood to cancel a reaction card as it is played by a vampire with capacity 5 or less, and its cost is not paid.
[MERGED] Archbishop of Aragon.","Anarchs:U2, POD:DTC","","","rk post"
"200876","Lucretia, Cess Queen","","Vampire","Nosferatu","","1","10","aus cel for pot ANI OBF","Camarilla primogen: +1 stealth.","Jyhad:V, VTES:V, Tenth:A","primogen","","Anson Maddocks"
"200877","Lucubratio","","Vampire","Tremere antitribu","","4","10","AUS DOM POT PRE THA","Sabbat Archbishop of Brussels: Once each turn, when Lucubratio blocks, he may discard a card that requires Auspex [aus] from your hand instead of locking for the block.","Third:PTr2","archbishop","","Becky Jollensten"
"200878","Lucy Markowitz","","Vampire","Lasombra","","4","3","dom obt","Sabbat.","Third:V, POD:DTC","","","Jim Di Bartolo"
"200879","Ludmijla Rakoczy","","Vampire","Tzimisce","","5","7","ANI AUS VIC","Sabbat bishop: Cards requiring Animalism [ani] cost Ludmijla 1 fewer blood.","DM:C/2, Anthology:1, SP:DoF2","bishop","","Elli Adams"
"200880","Lukas","","Vampire","Nosferatu antitribu","","4","8","pre ser ANI OBF POT","Sabbat Archbishop of Toronto.","Third:V","archbishop","","James Stowe"
"200881","Luke Fellows","","Vampire","Gangrel antitribu","","4","7","CEL OBF PRO","Sabbat: If Luke bleeds successfully, he unlocks at the end of the action.","Third:V","","","Peter Bergting"
"200882","Lula Burch","","Vampire","Gangrel antitribu","","4","3","for pro","Sabbat.","Third:V","","","Lawrence Snelly"
"200883","Luma, Stone Beauty","","Vampire","Gargoyle","","2","5","aus pot vis FOR","Camarilla Tremere Slave: Flight [FLIGHT].","BL:U1","","","Christopher Shy"
"200884","Lumumba","","Vampire","Guruhi","","4","4","ani PRE","Laibon.","LoB:PG2","","","Jim Pavelec"
"200885","Luna Giovanni","","Vampire","Giovanni","","5","10","cel DOM NEC OBF OBT POT","Independent. 1 vote (titled): During the polling step of any referendum, Luna can remove X political action cards in any ash heaps from the game to get +X votes.","LotN:U, POD:DTC","1 vote","","James Stowe"
"200886","Lupe ""Cabbie22"" Droin","","Imbued","Defender","","4","4","def ven","If Lupe has a vehicle, once each action she may burn a conviction [1 CONVICTION] to get +1 stealth or +1 intercept.","NoR:U","","","Lawrence Snelly"
"200887","Lupo","","Vampire","Brujah","","1","2","pot","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","Josh Timbrook"
"200888","Lupo Giovanni","","Vampire","Giovanni","","6","6","dom pot pre NEC","Independent: If Lupo is ready during your unlock phase, another ready Giovanni you control can gain 1 blood.","TU:C/B2","","","Ian Hernaiz; Ari Targownik"
"200889","Luther","","Vampire","Gangrel antitribu","","2","6","for obt pro ANI","Sabbat: Luther gets +1 bleed when bleeding a Methuselah who controls a ready Pander.","Sabbat:V, SW:U","","","Mike Dringenberg"
"200890","Lutz von Hohenzollern","","Vampire","Malkavian","","4","11","pot AUS DEM OBF PRE","Camarilla Malkavian Inner Circle: If Lutz is ready, your prey burns 1 pool after the referendum of a political action passes. +2 bleed.","KoT:PM2/A2","inner circle","","Warren Mahy"
"200891","Lydia, Grand Praetor","","Vampire","True Brujah","","6","9","dom pre AUS FOR POT TEM","Independent. 1 vote (titled): During an action, Lydia can burn 1 blood to get +1 stealth. She cannot use cards requiring Celerity [cel]. Scarce.","HttB:U/B2","1 vote","","Ken Meyer, Jr."
"200892","Lydia Van Cuelen","","Vampire","Tremere","","1","6","aus dom pre tha","Camarilla: +1 bleed.","Jyhad:V, VTES:V, Tenth:B","","","Christopher Rush"
"200893","Lynn Thompson","","Vampire","Brujah","","5","3","cel pot","Camarilla: Lynn cannot have a haven ({instead} any haven that she would receive is burned{}).","KoT:V/A1","","","Heather V. Kreiter"
"200894","MacAlister Marshall","","Vampire","Tremere","","5","6","aus dom obf pre THA","Camarilla: Other Tremere get +1 intercept during (D) actions against MacAlister.","KoT:V/B1","","","Ken Meyer, Jr."
