"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"101264","Nar-Sheptha","","Retainer","Assamite","","1","","","","Unique wraith with 1 life.
While this vampire is in combat, you get +2 hand size, and the opposing minion is considered the acting minion.","","TU:C","","","Noora Hirvonen","",""
"101265","Narrow Minds","","Event","","","","","","","Inconnu. Do not replace until your unlock phase.
Minion cards that change the target of a bleed cost an additional blood or life.","","LotN:R","","","John Bridges","",""
"101266","National Guard Support","","Political Action","","","","","","","Requires a titled vampire.
You may not play this card if another National Guard Support is in play. If this referendum is successful, put this card in play. Minions get -1 stealth on (D) actions. During your unlock phase, put a counter on this card. Any vampire can call a referendum to burn this card as a +1 stealth political action; in that referendum, each counter represents a vote in favor of burning the card.","","FN:R2, KoT:PV2","titled","","Jeff Holt","",""
"101267","Necromancy","","Master","","","","","","","Discipline.
Put this card on a vampire. This vampire gets +1 level of Necromancy [nec] and +1 capacity. Cannot be put on a vampire with superior Necromancy [NEC].","","DS:C2, FN:PG2, LotN:PG, POD:DTC","","","Anson Maddocks; Samuel Araya","+1",""
"101268","Necrosis","","Combat","","Thanatosis/Potence","","","","","[pot] Strike: hand strike at +1 damage.
[thn] Strike: hand strike at +2 damage.
[THN] As [thn] above, and the opposing vampire takes 1 unpreventable environmental damage during the press step this round (only effective if this strike was made at close range).","","LK:4","","","Javier Santos","",""
"101269","Neebi","","Combat","","","","","","Y","Requires a Laibon with three or more Aye.
Only usable before range is determined. Set the range for this round. Skip the determine range step this round.","","EK:C","laibon","","Michael Gaydos","",""
"101270","Neighborhood Watch Commander","Neighborhood Watch Commander (Hunter)","Ally","","","","2","","","Mortal with 1 life. 1 strength, 0 bleed.
Lock {after resolution} of {an unsuccessful action} to inflict 1 damage on the acting vampire. Only one Neighborhood Watch Commander {can} lock to inflict damage each action.","Wild Ones will hunt vampires even in their strongest cities.
The Book of Nod","Gehenna:C, Third:PTz","","","Ken Meyer, Jr.","",""
"101271","Neonate Breach","","Political Action","","","","","","","Choose one or more Methuselahs. Successful referendum means each chosen Methuselah burns 1 pool, plus 3 additional pool if they control a ready vampire with capacity 4 or less.","","KoT:C/A2, SP:PoS1, 25th:1","","","Jeremy McHugh","",""
"101272","Nephandus","Nephandus (Mage)","Ally","Tremere antitribu","","2","","","","Mage with 2 life. 0 strength, 1 bleed.
Nephandus can strike: 1R damage. Nephandus gets 1 optional press each combat. Nephandus can burn a vampire in torpor to gain 1 life as a (D) action. Each strike or damaging effect made by the opposing minion against Nephandus in combat inflicts 1 less damage.","","Sabbat:R, Tenth:A, Third:R, SP:PwN8","","","Lawrence Snelly","",""
"101273","Nephren-Ka","","Ally","Follower of Set","","3","","","","Unique mummy with 5 life. 2 strength, 0 bleed.
Nephren-Ka can prevent 1 non-aggravated damage each combat. He can play cards requiring basic Necromancy [nec] as a vampire. He can enter combat with a minion as a (D) action. If he is burned, shuffle him into his owner's library.","","LotN:R, POD:DTC","","","Mark Poole","",""
"101274","Nest of Eagles","","Reaction","Assamite","","","","","","Not usable if the acting minion is an Assamite or wraith or has flight [FLIGHT].
Reduce a bleed against you by 1. If the acting minion is an ally or vampire with capacity 5 or less, reduce the bleed amount by 3 instead.","","LotN:C/PA2, POD:DTC","","","Peter Bergting","",""
"101275","Netwar","","Reaction","","Auspex/Chimerstry/Dementation","","","","","Requires an anarch.
[aus] Look at the acting Methuselah's hand.
[chi] Unlock another ready minion you control. That minion attempts to block.
[dem] Give another minion you control +1 intercept.","","AU:C","anarch","","Jared Smith","",""
"101276","Neutral Guard","","Action Modifier","","Obeah/Fortitude","","1","","","Only usable when this vampire announces an action.
[for] Vampires must pay 1 blood to attempt to block this action.
[obe] For the remainder of this action, when this vampire is in combat, the range is automatically long; skip the determine range step of each round.
[OBE] As [obe] above, and allies and younger vampires cannot block this action.","","BL:R2, LoB:R","","","William O'Connor","",""
"101277","New Carthage","","Master","Brujah","","3","","","","Unique location.
Titled Brujah get +1 bleed and +1 vote. Ventrue get -1 vote.","","KoT:R/A1, Anthology:1","","","Peter Bergting","",""
"101278","New in Town","","Master","","","","","","","Unique master.
Put this card on any vampire with a capacity below 8 who was moved to the ready region in any Methuselah's influence phase since your last turn. This vampire gets -1 stealth. This vampire can burn this card as a (D) action.","","LoB:PO","","","David Day","",""
"101279","New Inquisition, The","","Event","","","","","","","Gehenna. Do not replace until a titled vampire goes to torpor.
Requires at least one other Gehenna card in play. During each Methuselah's unlock phase, he or she may choose a ready vampire controlled by his or her prey. That vampire takes 1 unpreventable damage. Any titled vampire may call a referendum to burn this card as a +1 stealth political action.","","Gehenna:R","1 Gehenna","","Steve Ellis","",""
"101280","New Management","","Action","","","","","","","Do not replace until after this action.
(D) Take control of a location that is free or costs 1 blood or pool.","There was never anything by the wit of man so well devised, or so sure established, which in continuance of time hath not been corrupted.
Book of Common Prayer","Third:R2, KoT:R","","","Mark Poole","",""
"101281","New Moon Sigil","","Action","","Spiritus","","2","","Y","+1 stealth action.
[spi] Put this card on a vampire you control. The attached vampire gets 1 optional maneuver each combat. A vampire can have only one New Moon Sigil.
[SPI] As above, and during an action, the attached vampire can burn 2 blood to get +1 stealth.","","HttB:R/B1","","","Doug Stambaugh","",""
"101282","Ni Dieu ni Maître","","Action Modifier","","Animalism/Fortitude/Vicissitude","","","","","Requires an anarch. Only usable as the action is announced. More than one discipline can be used to play this card.
[ani] If this action is blocked, the opposing minion cannot use maneuvers in the resulting combat.
[for] Vampires must burn 1 blood to attempt to block this action.
[vic] If this action is blocked, this anarch gets +1 strength in the resulting combat.","","AU:C","anarch","","Rubén Bravo","",""
"101283","Night Moves","","Action","","Obfuscate","","","","","[obf] (D) Bleed your predator or prey at +3 stealth. If more than 1 pool is bled with this action, ignore the excess.
[OBF] (D) As above, but bleed at +6 stealth.","Hung be the heavens with black, yield day to night!
William Shakespeare, ""King Henry VI Part 1"", act I, scene 1","Jyhad:U2, VTES:U, Sabbat:U, CE:C/PN3, HttB:PSam3","","","Jason Alexander Behnke; Britt Martin","",""
"101284","Nightmare Curse","","Action","","Auspex & Chimerstry","","2","","","[chi] (D) Lock a ready minion and unlock this acting vampire.
[aus][chi] (D) Put this card on a ready minion and lock him or her. This minion doesn't unlock as normal. During this minion's unlock phase, he or she may burn a pool to unlock. Burn this card when the acting vampire leaves play.
[AUS][CHI] As [aus][chi] above, but without the option to burn a pool to unlock.","","BL:R1, LotN:PR","","","Fred Hooper","",""
"101285","Nightmares upon Nightmares","","Event","","","","","","","Gehenna. Do not replace until your next discard phase.
For each minion a Methuselah controls during his or her unlock phase, the Methuselah must burn a card from his or her hand or lock that minion. Cards burned in this way are not replaced until the master phase. Vampires with capacity greater than the number of Gehenna cards in play and mortal allies are not affected by this card.","","Gehenna:R","","","Mark Nelson","",""
"101286","Nightshades","","Action Modifier","","Obtenebration","","","","","[obt] Only usable as the action is announced. Choose an ally or younger vampire. The chosen minion gets -1 intercept.
[OBT] As above, but usable if a minion attempts to block.","","KMW:C, POD:DTC","","","John Bridges","",""
"101287","Nightstick","","Equipment","","","1","","","","Melee weapon.
Strike: strength+1 damage. Or strike: prevent 3 damage to this striking minion from the opposing minion's next hand or melee weapon strike this round (including any currently-resolving hand or melee weapon strike). Only usable once each round.","","LotN:U","","","Peter Bergting","",""
"101288","Nimble Feet","","Combat","","Celerity","","","","","[cel] Press.
[CEL] Additional strike {(limited)}.","","Jyhad:C, VTES:C, CE:C, KMW:PG4, LoB:PO3, Third:PB3","","","Nicola Leonard","",""
"101289","Nkishi","","Equipment","","","","","","","Unique equipment. Requires a Laibon.
You may use a master phase action to search your library or ash heap for an Aye or an Orun and put that card on this Laibon.","Somewhere between the axis of Heaven and Earth lies the link to humanity.","EK:R","laibon","","Vince Locke","",""
"101290","No Confidence","","Action Modifier","","","","","","","Play after resolving a successful action that requires an anarch.
Put this card on a titled non-{A}narch vampire controlled by the target of the action (or by your predator or prey if the action is undirected). A vampire with two No Confidence cards loses the benefit of his or her title. Burn this card if this acting vampire leaves the ready region.","","TR:C","","","Brian LeBlanc","",""
"101291","No Secrets From the Magaji","","Action","","","","","","","+1 stealth action. Requires a ready magaji.
Put this card on this magaji and unlock him or her. The magaji with this card gets +1 intercept when attempting to block vampires. If this magaji is locked, he or she may attempt to block a vampire as if unlocked. Burn this card if this magaji attempts to block a vampire but is not successful. A vampire may have only one No Secrets From the Magaji.","","LoB:C","magaji","","Heather Kreiter","",""
"101292","No Trace","","Combat","","Obfuscate","","1","","","[obf] Only usable at long range. Strike: combat ends.
[OBF] Strike: combat ends.","","KoT:C/A2, FB:PM2","","","Erica Danell","",""
"101293","Nocturn","","Ally","","Obtenebration","","1","","","Demon with 1 life. 1 strength, 1 bleed.
[obt] Nocturn can perform actions the turn it is recruited. Unlock this vampire if this is their first successful recruit ally action this turn. Nocturn can play non-ally cards requiring basic Obtenebration [obt] as a vampire. Burn Nocturn during your unlock phase.
[OBT] As above, and this vampire can perform this action again this turn, with the cost increased by 1 blood (cumulative).","","SoC:C, HttB:PKia2, POD:DTC","","","Leif Jones","",""
"101294","Nocturn Theater","","Master","","","2","","","","Unique location.
Lock this card and a ready vampire you control during your unlock phase to lock a minion controlled by your prey. Any titled vampire can burn this card as a (D) action.","","KoT:R/A1","","","Brian LeBlanc","",""
"101295","Nod","","Master","","","","","","","Master: trifle.
Beginning with you and going clockwise once around the table, each Methuselah can rearrange the equipment on his or her ready minions.","A smart Lick could move merchandise, people, drugs or just about anything else using the club as cover.","Gehenna:C, KoT:PB","","","Joel Biske","",""
"101296","Nose of the Hound","","Action","","Spiritus/Auspex","","","","","+1 stealth action.
[aus] (D) Enter combat with a ready locked minion controlled by another Methuselah. This acting minion gets an optional maneuver in that combat.
[spi] As [aus] above, with an additional optional maneuver during that combat.
[SPI] As [spi] above, but enter combat with any ready minion controlled by another Methuselah.","","BL:C2, LoB:C","","","Mike Danza","",""
"101297","Nosferatu Bestial","","Action","Nosferatu","","1","","","","+1 stealth action. Unique.
Put this card into play. This card represents a unique Nosferatu {of the same sect as the acting Nosferatu} with 2 capacity and basic Animalism [ani]. The Bestial cannot act except to hunt, cannot cast votes or ballots and cannot have equipment. During your unlock phase, this Bestial may employ a retainer from your hand that requires Animalism (requirements and cost apply as normal). This is not an action and cannot be blocked.","","Anarchs:R, KoT:R","","","Mark Nelson","2",""
"101298","Nosferatu Hosting","","Master","Nosferatu","","1","","","","Master.
You may use a master phase action to look at one vampire in another Methuselah's uncontrolled region. Any minion who is not Toreador may burn Nosferatu Hosting as a (D) action.","","DS:U","","","Drew Tucker","",""
"101299","Nosferatu Justicar","","Political Action","","","","","","","Title.
Choose a ready Nosferatu. If this referendum is successful, put this card on the chosen Nosferatu to represent the unique Camarilla title of Nosferatu Justicar. In this referendum, each Nosferatu gets 1 extra vote.","","Jyhad:R, VTES:R, CE:R, KoT:R","","","Mark Tedin; Fred Hooper","",""
"101300","Nosferatu Kingdom","","Master","Nosferatu antitribu","","2","","","","Master: unique location.
During your influence phase, lock to move 1 blood from the blood bank to a Nosferatu antitribu in your uncontrolled region.","When the eye fails to find beauty... it commands the body to create it or, failing that, adjusts itself to perceive virtue in ugliness.
Joseph Brodsky, ""Watermark""","Sabbat:R, SW:R, BH:PN, Third:R","","","Richard Thomas","",""
"101301","Nosferatu Performance Art","","Action","Nosferatu","","","2","","","(D) Send a Toreador into torpor or burn a location that requires a Toreador. If this acting Nosferatu has a capacity above 5, this action is at +1 stealth.","","DS:U, CE:PN","","","Mark Tedin","",""
"101302","Nosferatu Putrescence","","Combat","","","","","","","Put this card on a Nosferatu in combat. The Nosferatu with this card has -1 strength each combat. You may play this card even if you are not involved in the current combat.","There is no more infection, simply the mark.
Jewelle Gomez, ""Louisiana: 1850""","Jyhad:U, VTES:U","","","Pete Burges & Dave Roach","",""
"101303","Not to Be","","Master","","","1","","","","Master: out-of-turn.
Cancel an event card as it is played (no cost is paid). Put this card in play. During your master phase, you get one additional master phase action. During your discard phase, you get one fewer discard phase action, and this card is burned.","The gods point to where chance would have taken me and then laugh that I am here instead, here where they would have me.
Victoria Ash, Toreador","KMW:R","","","Mark Poole","",""
"101304","Notorious Brutality","","Action Modifier","","","","1","","","Requires a Sabbat vampire with capacity above 7. Only usable as the action is announced.
Non-infernal vampires with capacity less than 6 cannot block this action.","","SoC:C","sabbat,capacity above 7","","Leif Jones","",""
"101305","NRA PAC","","Event","","","","","","","Government.
Any minion who successfully performs an equip action unlocks at the end of the turn.","","Third:R, KoT:R","","","Eric Lofgren","",""
"101306","NSA Trio","","Event","","","","","","","Government.
During the first combat between an acting vampire and a blocking vampire each turn, neither combatant may end combat as a strike in the first round. A Methuselah may use a discard phase action to burn this card if his or her minions attempted no actions in the current turn.","","KMW:R","","","Avery Butterworth","",""
"101307","Oath, The","","Combat/Reaction","","","","","","","Play when a vampire gains blood from a Taste of Vitae or steals blood from this vampire. Put an oath counter on that vampire. This vampire may put another oath counter on that vampire as a (D) action. A vampire with 2 oath counters from this vampire cannot block or enter combat with this vampire. A vampire can play only one Oath each round.","","KoT:C","","","Sandra Chang","",""
"101308","Oath of Loyalty","","Master","","","","","","","Master.
Put this card on an Assamite controlled by another Methuselah. That Assamite cannot attempt to bleed you. This card can be burned by another Assamite as a (D) action.","","AH:R2","","","Greg Simanson","",""
"101309","Obedience","","Reaction","","Dominate","","","","","Only usable {if} this vampire is about to enter combat with an acting younger vampire.
[dom] Unlock the acting vampire and end the action. (Do not lock this vampire if they are blocking.) The acting vampire cannot take the same action this turn.
[DOM] As above, but do not unlock the acting vampire.","","Jyhad:U, VTES:U, Sabbat:U, SW:PV, CE:U, Third:U, HttB:PKia3, SP:PoS2","","","Ron Spencer; L. A. Williams; Oliver Meinerding","",""
"101310","Obfuscate","","Master","","","","","","","Master: Discipline.
Put this card on a vampire. This vampire gains one level of Obfuscate [obf]. Capacity increases by 1: the vampire is one generation older. Cannot be placed on a vampire with superior Obfuscate [OBF].","","Jyhad:C, VTES:C, Sabbat:C, SW:C, FN:PS, CE:C, KMW:PB, Third:PM, KoT:PM2","","","John Bridges; Lawrence Snelly","+1",""
"101311","Obsession","","Master","","","2","","","","Master.
Put this card on a ready Toreador antitribu. The vampire with this card does not unlock as normal. During his or her controller's unlock phase, he or she burns 1 blood to unlock or is burned. If the vampire goes into torpor, this card is burned.","","Sabbat:R, SW:R","","","Mark Tedin","",""
"101312","Obtenebration","","Master","","","","","","","Discipline.
Put this card on a vampire. This vampire gets +1 level of Obtenebration [obt] and +1 capacity. Cannot be put on a vampire with superior Obtenebration [OBT].","","Sabbat:C, SW:C/PL, HttB:PKia, POD:DTC","","","Alan Rabinowitz; Melissa Uran","+1",""
"101313","Occlusion","","Action Modifier/Combat","","Chimerstry","","","","","[chi] [COMBAT] Strike: dodge.
[CHI] [ACTION MODIFIER] +1 stealth.","When you suddenly can smell the moonlight (and what a stench moonlight can be), and footsteps become red streaks before your eyes, it can be overwhelming. At least for a time. And a little time goes a long way.
Zlatos, Ravnos","Gehenna:C, LotN:PR4","","","Christopher Shy","",""
"101314","Octopod","","Combat","","Sanguinus","","1","","","Requires a ready Blood Brother of the same circle as another one in combat. Usable by a vampire not involved in the combat.
[san] Only usable before range is chosen. The other Blood Brother gets an additional strike {(limited)} each round{}.
[SAN] As [san] above, but with two additional strikes {(limited)} each round.","","BL:C2, LoB:C","same circle","","Lawrence Snelly","",""
"101315","Of Noble Blood","","Action","","","","1","","","Requires a ready primogen. +1 stealth action. Title.
Choose a Camarilla vampire with a capacity above 5 who does not have a title. Put this card on that vampire to represent the Camarilla title of primogen. Not usable on Caitiff.","Noblesse oblige.
Gaston Pierre Marc, ""Maxims and Reflections""","DS:U2, CE:U","primogen","","Josh Timbrook","",""
"101316","Off Kilter","","Action","Samedi","","","","","","+1 stealth action.
Gain 1 pool. If you do not have the Edge, you get the Edge. Otherwise, you can burn the Edge to gain 1 additional pool.","","HttB:C/A2/PSam2","","","Leif Jones","",""
"101317","Ohoyo Hopoksia (Bastet)","","Ally","Ahrimane","","3","","","","Unique werewolf with 3 life. 3 strength, 0 bleed.
When a minion you control {would} enter combat with an acting minion, you may lock Ohoyo to cancel that combat {and have Ohoyo enter} combat with the acting minion instead. She gets an optional maneuver each combat. If she has less than 3 life during your unlock phase, she gains 1 life from the blood bank.","","LoB:R","","","James Stowe","",""
"101318","Old Friends","","Action Modifier","","Obfuscate","","1","","","Do not replace until your unlock phase.
[obf] Only usable during a bleed action. +1 bleed (limited).
[OBF] Only usable during the polling step of a political action. This vampire gets +2 votes.","","KoT:U/A2","","","Jeremy McHugh","",""
"101319","Olid Loa","","Combat","Samedi","","","","","","Only usable before range is determined. Retainers on the opposing minion lose their abilities this combat. The opposing minion cannot maneuver to close or press to continue this combat.","","HttB:R","","","Juan Calle","",""
"101320","Omael Kuman","","Retainer","Assamite","","1","","","","Unique ghoul with 1 life.
The employer can burn 1 blood to set the range for the round before range is determined during the first round of combat.","","LotN:R, POD:DTC","","","Eric Lofgren","",""
"101321","On the Qui Vive","","Reaction","","","","","","","Only usable by a locked minion. A minion can play only one On the Qui Vive between their unlock phases.
This minion wakes (they ignore the requirement to be unlocked for playing reaction cards and attempting to block until the end of the action). If this minion is an ally, they do not unlock as normal during their next unlock phase.","","Third:C/PB2/PM2/PTr2, KoT:C/PB3/PM3/PT2, HttB:PKia3/PSam4, SP:DoF4/LB4/PoS2/PwN6, 25th:3, FB:PM5/PN2/PTo5/PTr3/PV3, V5:PM5/PN5/PTr4","","","David Day","",""
"101322","Open Dossier","","Reaction","","","","1","","","Only usable by a vampire who has been chosen for a contract on the acting minion. This vampire attempts to block with +2 intercept and gets an optional maneuver in the resulting combat if successful. Usable by a locked vampire even if intercept is not yet needed.","","LotN:C","","","Becky Jollensten","",""
"101323","Open Grate","","Combat","","","","","","","Press, only usable to end combat.","","Jyhad:C, VTES:C, SW:PV","","","Dan Frazier","",""
"101324","Open War","","Action","","","","","","","+1 stealth action. Requires a baron.
Put this card in play. Anarch vampires can enter combat with any minion as a (D) action. They can burn a location as a (D) action that costs 2 pool. Any Methuselah may use a master phase action to move 1 counter from his or her pool to this card. When this card has 4 pool, burn it and gain 4 pool. Only one Open War may be played in a game.","","TR:R","baron","","John Bridges","",""
"101325","Ophidian Gaze","","Reaction","","Presence & Serpentis","","","","","[pre][ser] Reduce a bleed against you by 2.
[PRE][SER] Only usable during a political action, after blocks are declined. Cancel an action modifier as it is played, and its cost is not paid.","","TU:C","","","Ginés Quiñonero","",""
"101326","Opium Den","","Master","Follower of Set","","1","","","","Master: unique location.
Lock to give a Follower of Set you control +1 stealth for the current action.","And opium dreams can roam and rove
Past that which has no bourne,
Can plumb eternity, and mourn
The emptiness of love
And satiate the soul with joys forlorn.
Baudelaire, ""The Poison""","AH:C2, FN:PS, LotN:PS","","","William O'Connor","",""
"101327","Oppugnant Night","","Action","Blood Brother","","","","","","+1 stealth action. Only one Oppugnant Night can be played each turn.
Put this card in play and unlock this Blood Brother. Each Blood Brother of this circle (including this one) can enter combat with a minion as a (D) action. Burn this card at the end of this minion phase.","","HttB:C/A2","","","Avery Butterworth","",""
"101328","Orb of Ulain","","Equipment","","","","","","","Unique.
This ally cannot be the target of directed actions requiring Auspex [aus], Chimerstry [chi], Dominate [dom], Presence [pre] or Serpentis [ser]. Reaction cards requiring any of those Disciplines cost 1 additional blood while this ally is acting.","","Tenth:A/B, POD:DTC","","","Lawrence Snelly","",""
"101329","Order of Hermes Cabal","","Ally","","","4","","","","Unique mage with 2 life. 0 strength, 1 bleed.
Cabal may strike for 1R aggravated damage. Cabal may enter combat with any Tremere controlled by another Methuselah as a (D) action.","Am I not a jarring note
In the heavenly symphony?
Baudelaire, ""Heautonimoroumen""","DS:U","","","Daniel Gelon","",""
"101330","Orgy of Blood","","Combat","","","","","","","Only usable when a minion you control burns an ally controlled by another Methuselah.
Each of your vampires gains X blood from the blood bank, where X is the recruitment cost of the ally. (Remove excess blood.)","","Sabbat:R, SW:R","","","Harold Arthur McNeill","",""
"101331","Orun","","Master","","","","","","","Master: trifle.
Put this card on a Laibon. For non-Orun cards played by Methuselahs other than this Laibon's controller, this Laibon is considered to have 2 additional capacity. A Laibon gets an additional vote for every three Orun he or she has. If this Laibon successfully bleeds for more than 2 or successfully performs a (D) action against a non-mortal minion, he or she burns one Orun. Burn this card if this Laibon has more Orun and Aye than his or her capacity.","","LoB:C, EK:C½","","","Ken Meyer, Jr.","",""
"101332","Osebo Kholo","","Action Modifier/Reaction","Osebo","","","","","","Only usable during a referendum. Usable by a locked vampire. Title.
Put this card on this Laibon Osebo to represent the unique Laibon title of Osebo Kholo (worth 2 votes). Not usable if there are any older ready untitled Laibon Osebo. Whenever this vampire is not a ready Laibon Osebo or there is an older ready untitled Laibon Osebo, move this card to (one of) the oldest ready untitled Laibon Osebo (if any).","","LoB:PO","","","Alejandro Collucci","",""
"101333","Ossian","","Ally","","","3","","","","Unique werewolf with 4 life. 2 strength, 0 bleed. Red List.
Ossian may enter combat with any vampire as a +1 stealth (D) action. In the first round of combat with a vampire who has played a card that requires Auspex [aus] during this action, that vampire cannot use any maneuvers or strikes. Ossian gains 1 life at the end of each round for each blood the opposing vampire used to heal damage or prevent destruction that round.","","KMW:R, KoT:R","","","Roel Wielinga","",""
"101334","Oubliette","","Combat","","Obtenebration","","1","","","[obt] Strike: combat ends.
[OBT] As above, and the opposing minion burns 1 blood or life after combat ends (even at long range).","","SW:U/PL, Third:U, HttB:PKia3, SP:PoS3, POD:DTC","","","Patrick Lambert","",""
"101335","Out of Control","","Master","","","2","","","","Master.
Burn a Brujah antitribu with capacity below 6. Only one Out of Control can be played during a game.","I would have nobody to control me;
I would be absolute: and who but I?
Miguel De Cervantes Saavedra, ""Don Quixote""","Sabbat:U, SW:R/PV","","","Greg Loudon","",""
"101336","Out of the Frying Pan","","Master","","","","","","","Master. Trifle.
Choose a ready Sabbat vampire you control. That vampire becomes Camarilla. (His or her clan is not affected.)","When you tire of the mask of freedom and realize that the Traditions have served you all along, you take the name for yourself as well. Camarilla.
Anne Bowesley, Ventrue Prince (Queen) of London","Anarchs:C","","","Brian LeBlanc","",""
"101337","Outcast Mage","","Ally","Tremere","","3","","","","Mage with 2 life. 0 strength, 1 bleed.
Outcast Mage may strike for 2R damage. Outcast Mage gets one optional maneuver each combat.","Priests in black gowns
Were making their rounds
And binding with briars
My joys and desires.
William Blake, ""Garden of Love""","Jyhad:U, VTES:U","","","Susan Van Camp","",""
"101338","Outside the Hourglass","","Combat","","Temporis/Obfuscate","","","","","[obf] Strike: dodge.
[tem] Maneuver, or strike: dodge, with 1 optional maneuver.
[TEM] Only usable before range is determined. Inflict 2 damage on the opposing minion. A vampire can play only one Outside the Hourglass at superior each round.","","HttB:C/B2","","","Jim Di Bartolo","",""
"101339","Overseer","","Political Action","","","","","","","Requires a Laibon with a capacity above 4. Title.
In this referendum, each Guruhi gets one additional vote. Any votes or ballots any magaji cast in favor of this referendum are ignored. If this referendum passes, put this card on the acting Laibon to represent the Laibon title of magaji (worth 2 votes).","","LoB:C/PG","laibon,capacity above 4","","Brian LeBlanc","",""
"101340","Owl Companion","","Retainer","","Animalism","","","","","Animal with 1 life.
[ani] While this minion is in combat, the controller of the opposing minion plays with an open hand.
[ANI] As above, but the Owl Companion has 2 life.","","Jyhad:U, VTES:U, CE:U/PN, Anarchs:PG, BH:PN, KMW:PG, LoB:PA2, Third:PTz, LotN:PR, KoT:U","","","Jeff Holt; L. A. Williams","",""
"101341","Oxford University, England","","Master","Brujah","","","","","","Master: unique location.
During the referendum of a political action, you may lock this card and burn X pool to get X votes.","","DS:C2, CE:PB","","","Michael Weaver","",""
"101342","Pack Alpha","","Combat","","Animalism","","","","","A vampire may play only one Pack Alpha each round.
[ani] This vampire employs an animal retainer from your hand before range is determined. Pay cost as normal.
[ANI] Burn an animal retainer employed by this vampire and put this card on this vampire. The minion with this card gets +1 strength. A minion may have only one Pack Alpha.","","KMW:C","","","Travis Ingram","",""
"101343","Pack Tactics","","Reaction","","","","1","","","Do not replace until after this action.
Only usable during a bleed against you. This reacting vampire gets +2 intercept. A vampire cannot play both Pack Tactics and Elder Intervention during the same action.","","Sabbat:C, SW:C, Anarchs:PAG, BH:PN2","","","Patrick Kochakji","",""
"101344","Palace Hunting Ground","","Master","Guruhi","","1","","","","Master: unique location. Hunting ground.
During your unlock phase, you may move 1 blood from the blood bank to a ready Guruhi you control. Not usable to move a blood to a Guruhi with no blood. A vampire can gain blood from only one hunting ground card each turn.","","LoB:PG","","","Mark Poole","",""
"101345","Palatial Estate","","Equipment","","","","2","","","This equipment card represents a location and does not count as equipment while in play. Unique.
During your master phase, the vampire with this location gains 1 blood.","Welcome to my house! Come freely. Go safely...
Bram Stoker, ""Dracula""","DS:C2, FN:PR, Third:PM","","","Greg Simanson","",""
"101346","Palla Grande","","Master","Toreador antitribu","","","","","","Unique.
Put this card in play with 3 counters. Toreador antitribu get +1 bleed. During your discard phase, burn 1 counter from this card. Burn this card if it has no counters.","","Sabbat:R, SW:R, BH:PTo, Third:R, SP:LB3","","","Diana Vick","",""
"101347","Pallid","","Master","","","","","","","Master.
Put this card on a Laibon with no Aye and no Pallid. This vampire gets -1 stealth. Burn this card if this vampire gets an Aye. Alternatively, when a vampire with no Aye or a zombie is acting, play this card to your ash heap as an out-of-turn master to give a vampire you control +1 intercept.","","EK:C","","","Brian LeBlanc","",""
"101348","Panacea","","Action","","Obeah/Auspex","","","","","+1 stealth action.
[aus] This vampire burns 1 blood to unlock a younger vampire.
[obe] Add 1 life to an ally who has fewer life than his or her starting amount.
[OBE] As [obe] above, and unlock that ally at the end of the turn.","You know, with the fangs and all, I thought he would just eat me, but I was still too weak to move. But he just licked at my cuts. Look! No scars or nothing.
Cole Goddings, night watchman","BL:C1, LoB:R","","","Andrew Trabbold","",""
"101349","Pandora's Whisper","","Action","","Mytherceria/Necromancy","","","","","+1 stealth action. Do not replace until your unlock phase.
[nec] Move one library card from your ash heap to your hand (discard down afterward).
[myt] Each other Methuselah can draw 2 cards. You draw 5 cards (discard down afterward).
[MYT] As [myt] above, but you can put any of the cards you discard on the top of your library instead of in your ash heap.","","LoB:C, POD:DTC","","","Becky Jollensten","",""
"101350","Papillon","","Master","","","3","","","","Unique location. Hunting ground. Requires a ready vampire with a city title.
During your unlock phase, a ready titled vampire you control can gain 2 blood. A vampire can gain blood from only one hunting ground each turn.","","KoT:U/A1, SP:PoS1","city title","","Sandra Chang-Adair","",""
"101351","Paragon","","Master","Ventrue","","","","","","Unique master.
Put this card on a ready Ventrue who was moved into your ready region during your last influence phase. This vampire gets 1 additional vote in referendums called by younger vampires. A younger vampire who successfully blocks this vampire burns 1 blood (before combat begins, if any).","","Anarchs:R","","","Andrew Trabbold","",""
"101352","Paris Opera House","","Master","Daughter of Cacophony","","2","","","Y","Master: unique location.
Lock to give a Daughter of Cacophony you control +1 stealth. Lock this card and a Daughter of Cacophony you control to give any minion +1 stealth.","He bankrolled the whole production. Those Malkavians are founts of inspiration, but he's the first to display such appreciation.
Gaël Pilet, Daughter of Cacophony","BL:R1, LoB:R","","","William O'Connor","",""
"101353","Parity Shift","","Political Action","","","","","","","Requires a prince or justicar.
Choose a Methuselah who has more pool than you do, and allocate 3 of their pool between 1 or more of the other Methuselahs (including you). Successful referendum means the chosen Methuselah loses that pool, and it is allocated as you chose.","","Jyhad:V, VTES:V, CE:U, 25th:5, Promo-20200511, V5:PTo4/PV5","prince,justicar","","L. A. Williams; Mark Kelly","",""
